Data supplied by UK-AIR on 5/4/2008
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM10 particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Sulphur dioxide",status,unit
 
01-01-1993,01:00,,,,98,R,ugm-3 (GRAV EQ),251,R,ugm-3,55,R,ugm-3,439,R,ugm-3,4,R,ugm-3,59,R,ugm-3
01-01-1993,02:00,,,,75,R,ugm-3 (GRAV EQ),209,R,ugm-3,61,R,ugm-3,380,R,ugm-3,6,R,ugm-3,48,R,ugm-3
01-01-1993,03:00,,,,77,R,ugm-3 (GRAV EQ),204,R,ugm-3,57,R,ugm-3,369,R,ugm-3,6,R,ugm-3,43,R,ugm-3
01-01-1993,04:00,,,,85,R,ugm-3 (GRAV EQ),209,R,ugm-3,59,R,ugm-3,378,R,ugm-3,6,R,ugm-3,43,R,ugm-3
01-01-1993,05:00,,,,90,R,ugm-3 (GRAV EQ),203,R,ugm-3,67,R,ugm-3,376,R,ugm-3,8,R,ugm-3,45,R,ugm-3
01-01-1993,06:00,,,,75,R,ugm-3 (GRAV EQ),198,R,ugm-3,65,R,ugm-3,367,R,ugm-3,6,R,ugm-3,48,R,ugm-3
01-01-1993,07:00,,,,68,R,ugm-3 (GRAV EQ),196,R,ugm-3,65,R,ugm-3,365,R,ugm-3,6,R,ugm-3,48,R,ugm-3
01-01-1993,08:00,,,,59,R,ugm-3 (GRAV EQ),186,R,ugm-3,63,R,ugm-3,348,R,ugm-3,6,R,ugm-3,43,R,ugm-3
01-01-1993,09:00,,,,46,R,ugm-3 (GRAV EQ),135,R,ugm-3,55,R,ugm-3,262,R,ugm-3,8,R,ugm-3,48,R,ugm-3
01-01-1993,10:00,,,,38,R,ugm-3 (GRAV EQ),116,R,ugm-3,61,R,ugm-3,239,R,ugm-3,8,R,ugm-3,43,R,ugm-3
01-01-1993,11:00,,,,52,R,ugm-3 (GRAV EQ),101,R,ugm-3,57,R,ugm-3,212,R,ugm-3,8,R,ugm-3,43,R,ugm-3
01-01-1993,12:00,,,,74,R,ugm-3 (GRAV EQ),96,R,ugm-3,59,R,ugm-3,206,R,ugm-3,8,R,ugm-3,56,R,ugm-3
01-01-1993,13:00,,,,65,R,ugm-3 (GRAV EQ),91,R,ugm-3,65,R,ugm-3,204,R,ugm-3,6,R,ugm-3,29,R,ugm-3
01-01-1993,14:00,,,,48,R,ugm-3 (GRAV EQ),95,R,ugm-3,65,R,ugm-3,210,R,ugm-3,8,R,ugm-3,27,R,ugm-3
01-01-1993,15:00,,,,64,R,ugm-3 (GRAV EQ),81,R,ugm-3,67,R,ugm-3,191,R,ugm-3,6,R,ugm-3,27,R,ugm-3
01-01-1993,16:00,,,,68,R,ugm-3 (GRAV EQ),91,R,ugm-3,59,R,ugm-3,199,R,ugm-3,6,R,ugm-3,32,R,ugm-3
01-01-1993,17:00,,,,77,R,ugm-3 (GRAV EQ),88,R,ugm-3,63,R,ugm-3,197,R,ugm-3,6,R,ugm-3,35,R,ugm-3
01-01-1993,18:00,,,,99,R,ugm-3 (GRAV EQ),128,R,ugm-3,61,R,ugm-3,256,R,ugm-3,4,R,ugm-3,19,R,ugm-3
01-01-1993,19:00,,,,107,R,ugm-3 (GRAV EQ),136,R,ugm-3,63,R,ugm-3,271,R,ugm-3,4,R,ugm-3,21,R,ugm-3
