Data supplied by UK-AIR on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2013,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2013,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2013,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
