Data supplied by UK-AIR on 9/5/2019
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Black carbon",status,unit,"UV Particulate Matter",status,unit
 
01-01-2018,01:00,0.070128,R,mgm-3,12.900,R,ugm-3 (TEOM FDMS),1.38092,R,ugm-3,10.26445,R,ugm-3,12.38182,R,ugm-3,10.600,R,ugm-3 (TEOM FDMS),8.200,R,ugm-3 (TEOM FDMS),70.46876,R,ugm-3,9.400,R,ugm-3 (TEOM FDMS),0.53811,R,ugm-3,2.300,R,ugm-3 (TEOM FDMS),1.200,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.30,R,ugm-3
01-01-2018,02:00,0.070128,R,mgm-3,7.100,R,ugm-3 (TEOM FDMS),2.40547,R,ugm-3,5.78825,R,ugm-3,9.47659,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),80.22489,R,ugm-3,2.200,R,ugm-3 (TEOM FDMS),0.35874,R,ugm-3,-1.900,R,ugm-3 (TEOM FDMS),-0.300,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.10,R,ugm-3
01-01-2018,03:00,0.087660,R,mgm-3,18.900,R,ugm-3 (TEOM FDMS),1.83751,R,ugm-3,10.30795,R,ugm-3,13.12542,R,ugm-3,19.200,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),73.01307,R,ugm-3,6.700,R,ugm-3 (TEOM FDMS),0.13453,R,ugm-3,-0.300,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.10,R,ugm-3
01-01-2018,04:00,0.064284,R,mgm-3,18.700,R,ugm-3 (TEOM FDMS),1.87092,R,ugm-3,7.76652,R,ugm-3,10.63523,R,ugm-3,18.000,R,ugm-3 (TEOM FDMS),4.100,R,ugm-3 (TEOM FDMS),75.11871,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),0.13453,R,ugm-3,0.700,R,ugm-3 (TEOM FDMS),1.100,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.00,R,ugm-3
01-01-2018,05:00,0.070128,R,mgm-3,16.600,R,ugm-3 (TEOM FDMS),2.03797,R,ugm-3,16.53736,R,ugm-3,19.66220,R,ugm-3,15.300,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),66.06446,R,ugm-3,6.800,R,ugm-3 (TEOM FDMS),0.13453,R,ugm-3,1.300,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),0.30,R,ugm-3,0.00,R,ugm-3
01-01-2018,06:00,0.073050,R,mgm-3,27.700,R,ugm-3 (TEOM FDMS),1.73728,R,ugm-3,12.58867,R,ugm-3,15.25247,R,ugm-3,23.700,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),69.74933,R,ugm-3,6.100,R,ugm-3 (TEOM FDMS),0.20179,R,ugm-3,4.000,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),0.40,R,ugm-3,0.00,R,ugm-3
01-01-2018,07:00,0.073050,R,mgm-3,24.700,R,ugm-3 (TEOM FDMS),1.67047,R,ugm-3,5.63556,R,ugm-3,8.19691,R,ugm-3,19.700,R,ugm-3 (TEOM FDMS),3.300,R,ugm-3 (TEOM FDMS),72.64458,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),0.00000,R,ugm-3,5.000,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,0.00,R,ugm-3
01-01-2018,08:00,0.070128,R,mgm-3,13.600,R,ugm-3 (TEOM FDMS),2.83979,R,ugm-3,21.27401,R,ugm-3,25.62830,R,ugm-3,15.300,R,ugm-3 (TEOM FDMS),2.500,R,ugm-3 (TEOM FDMS),51.64082,R,ugm-3,5.100,R,ugm-3 (TEOM FDMS),0.06726,R,ugm-3,-1.700,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),0.10,R,ugm-3,0.00,R,ugm-3
01-01-2018,09:00,0.084739,R,mgm-3,20.400,R,ugm-3 (TEOM FDMS),2.80638,R,ugm-3,23.40041,R,ugm-3,27.70347,R,ugm-3,18.000,R,ugm-3 (TEOM FDMS),3.500,R,ugm-3 (TEOM FDMS),45.69239,R,ugm-3,5.300,R,ugm-3 (TEOM FDMS),0.00000,R,ugm-3,2.400,R,ugm-3 (TEOM FDMS),1.800,R,ugm-3 (TEOM FDMS),0.20,R,ugm-3,-0.10,R,ugm-3
